Infinitive,распада́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распада́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,распада́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распада́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,распада́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распада́юсь
2nd Sing,распада́ешься
3rd Sing,распада́ется
1st Pl,распада́емся
2nd Pl,распада́етесь
3rd Pl,распада́ются
Past M,распада́лся
Past F,распада́лась
Past N,распада́лось
Past PL,распада́лись
Imp S,распада́йся
Imp PL,распада́йтесь
