Infinitive,расчу́вствоваться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расчу́вствовавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расчу́вствовавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расчу́вствуюсь
2nd Sing,расчу́вствуешься
3rd Sing,расчу́вствуется
1st Pl,расчу́вствуемся
2nd Pl,расчу́вствуетесь
3rd Pl,расчу́вствуются
Past M,расчу́вствовался
Past F,расчу́вствовалась
Past N,расчу́вствовалось
Past PL,расчу́вствовались
Imp S,расчу́вствуйся
Imp PL,расчу́вствуйтесь
