Infinitive,расши́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расши́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расши́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расши́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расши́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расши́рю
2nd Sing,расши́ришь
3rd Sing,расши́рит
1st Pl,расши́рим
2nd Pl,расши́рите
3rd Pl,расши́рят
Past M,расши́рил
Past F,расши́рила
Past N,расши́рило
Past PL,расши́рили
Imp S,расши́рь
Imp PL,расши́рьте
