Infinitive,реша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,реша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,реша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,реша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,реша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,реша́юсь
2nd Sing,реша́ешься
3rd Sing,реша́ется
1st Pl,реша́емся
2nd Pl,реша́етесь
3rd Pl,реша́ются
Past M,реша́лся
Past F,реша́лась
Past N,реша́лось
Past PL,реша́лись
Imp S,реша́йся
Imp PL,реша́йтесь
