Infinitive,рожда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рожда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рожда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рожда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рожда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рожда́юсь
2nd Sing,рожда́ешься
3rd Sing,рожда́ется
1st Pl,рожда́емся
2nd Pl,рожда́етесь
3rd Pl,рожда́ются
Past M,рожда́лся
Past F,рожда́лась
Past N,рожда́лось
Past PL,рожда́лись
Imp S,рожда́йся
Imp PL,рожда́йтесь
