Infinitive,сбега́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сбега́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбега́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сбега́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сбега́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сбега́юсь
2nd Sing,сбега́ешься
3rd Sing,сбега́ется
1st Pl,сбега́емся
2nd Pl,сбега́етесь
3rd Pl,сбега́ются
Past M,сбега́лся
Past F,сбега́лась
Past N,сбега́лось
Past PL,сбега́лись
Imp S,сбега́йся
Imp PL,сбега́йтесь
