Infinitive,свя́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,свя́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,свя́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,свя́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,свя́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,свя́зываюсь
2nd Sing,свя́зываешься
3rd Sing,свя́зывается
1st Pl,свя́зываемся
2nd Pl,свя́зываетесь
3rd Pl,свя́зываются
Past M,свя́зывался
Past F,свя́зывалась
Past N,свя́зывалось
Past PL,свя́зывались
Imp S,свя́зывайся
Imp PL,свя́зывайтесь
