Infinitive,сдава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сдаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сдава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сдава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сдава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сдаю́сь
2nd Sing,сдаёшься
3rd Sing,сдаётся
1st Pl,сдаёмся
2nd Pl,сдаётесь
3rd Pl,сдаю́тся
Past M,сдава́лся
Past F,сдава́лась
Past N,сдава́лось
Past PL,сдава́лись
Imp S,сдава́йся
Imp PL,сдава́йтесь
