Infinitive,скати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ска́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скачу́
2nd Sing,ска́тишь
3rd Sing,ска́тит
1st Pl,ска́тим
2nd Pl,ска́тите
3rd Pl,ска́тят
Past M,скати́л
Past F,скати́ла
Past N,скати́ло
Past PL,скати́ли
Imp S,скати́
Imp PL,скати́те
