Infinitive,скоси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скоси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ско́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скоси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скоси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скошу́
2nd Sing,ско́сишь
3rd Sing,ско́сит
1st Pl,ско́сим
2nd Pl,ско́сите
3rd Pl,ско́сят
Past M,скоси́л
Past F,скоси́ла
Past N,скоси́ло
Past PL,скоси́ли
Imp S,скоси́
Imp PL,скоси́те
