Infinitive,слива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,слива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,слива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,слива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,слива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,слива́юсь
2nd Sing,слива́ешься
3rd Sing,слива́ется
1st Pl,слива́емся
2nd Pl,слива́етесь
3rd Pl,слива́ются
Past M,слива́лся
Past F,слива́лась
Past N,слива́лось
Past PL,слива́лись
Imp S,слива́йся
Imp PL,слива́йтесь
