Infinitive,сма́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сма́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сма́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сма́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сма́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сма́тываюсь
2nd Sing,сма́тываешься
3rd Sing,сма́тывается
1st Pl,сма́тываемся
2nd Pl,сма́тываетесь
3rd Pl,сма́тываются
Past M,сма́тывался
Past F,сма́тывалась
Past N,сма́тывалось
Past PL,сма́тывались
Imp S,сма́тывайся
Imp PL,сма́тывайтесь
