Infinitive,снисходи́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,снисходя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,снисходи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,снисходя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,снисходи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,снисходи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,снисхожу́
2nd Sing,снисхо́дишь
3rd Sing,снисхо́дит
1st Pl,снисхо́дим
2nd Pl,снисхо́дите
3rd Pl,снисхо́дят
Past M,снисходи́л
Past F,снисходи́ла
Past N,снисходи́ло
Past PL,снисходи́ли
Imp S,снисходи́
Imp PL,снисходи́те
