Infinitive,созре́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,созре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,созре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,созре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,созре́ю
2nd Sing,созре́ешь
3rd Sing,созре́ет
1st Pl,созре́ем
2nd Pl,созре́ете
3rd Pl,созре́ют
Past M,созре́л
Past F,созре́ла
Past N,созре́ло
Past PL,созре́ли
Imp S,созре́й
Imp PL,созре́йте
