Infinitive,сотрясти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сотря́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сотрясённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сотря́сши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сотрясу́
2nd Sing,сотрясёшь
3rd Sing,сотрясёт
1st Pl,сотрясём
2nd Pl,сотрясёте
3rd Pl,сотрясу́т
Past M,сотря́с
Past F,сотрясла́
Past N,сотрясло́
Past PL,сотрясли́
Imp S,сотряси́
Imp PL,сотряси́те
