Infinitive,сохрани́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сохрани́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сохранённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сохрани́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сохрани́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сохраню́
2nd Sing,сохрани́шь
3rd Sing,сохрани́т
1st Pl,сохрани́м
2nd Pl,сохрани́те
3rd Pl,сохраня́т
Past M,сохрани́л
Past F,сохрани́ла
Past N,сохрани́ло
Past PL,сохрани́ли
Imp S,сохрани́
Imp PL,сохрани́те
