Infinitive,сохраня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сохраня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сохраня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сохраня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сохраня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сохраня́юсь
2nd Sing,сохраня́ешься
3rd Sing,сохраня́ется
1st Pl,сохраня́емся
2nd Pl,сохраня́етесь
3rd Pl,сохраня́ются
Past M,сохраня́лся
Past F,сохраня́лась
Past N,сохраня́лось
Past PL,сохраня́лись
Imp S,сохраня́йся
Imp PL,сохраня́йтесь
