Infinitive,списа́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,списа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,списа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,спишу́сь
2nd Sing,спи́шешься
3rd Sing,спи́шется
1st Pl,спи́шемся
2nd Pl,спи́шетесь
3rd Pl,спи́шутся
Past M,списа́лся
Past F,списа́лась
Past N,списа́лось
Past PL,списа́лись
Imp S,спиши́сь
Imp PL,спиши́тесь
