Infinitive,сподо́биться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сподо́бившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сподо́бившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сподо́блюсь
2nd Sing,сподо́бишься
3rd Sing,сподо́бится
1st Pl,сподо́бимся
2nd Pl,сподо́битесь
3rd Pl,сподо́бятся
Past M,сподо́бился
Past F,сподо́билась
Past N,сподо́билось
Past PL,сподо́бились
Imp S,сподо́бься
Imp PL,сподо́бьтесь
