Infinitive,спу́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спу́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спу́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спу́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спу́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спу́таю
2nd Sing,спу́таешь
3rd Sing,спу́тает
1st Pl,спу́таем
2nd Pl,спу́таете
3rd Pl,спу́тают
Past M,спу́тал
Past F,спу́тала
Past N,спу́тало
Past PL,спу́тали
Imp S,спу́тай
Imp PL,спу́тайте
