Infinitive,стря́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,стря́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стря́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стря́хиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стря́хивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,стря́хивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,стря́хивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,стря́хиваю
2nd Sing,стря́хиваешь
3rd Sing,стря́хивает
1st Pl,стря́хиваем
2nd Pl,стря́хиваете
3rd Pl,стря́хивают
Past M,стря́хивал
Past F,стря́хивала
Past N,стря́хивало
Past PL,стря́хивали
Imp S,стря́хивай
Imp PL,стря́хивайте
