Infinitive,сфотографи́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сфотографи́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сфотографи́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сфотографи́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сфотографи́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сфотографи́рую
2nd Sing,сфотографи́руешь
3rd Sing,сфотографи́рует
1st Pl,сфотографи́руем
2nd Pl,сфотографи́руете
3rd Pl,сфотографи́руют
Past M,сфотографи́ровал
Past F,сфотографи́ровала
Past N,сфотографи́ровало
Past PL,сфотографи́ровали
Imp S,сфотографи́руй
Imp PL,сфотографи́руйте
