Infinitive,тере́ться
Zaliznyak Class,9b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тру́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тёршийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тёршись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,тру́сь
2nd Sing,трёшься
3rd Sing,трётся
1st Pl,трёмся
2nd Pl,трётесь
3rd Pl,тру́тся
Past M,тёрся
Past F,тёрлась
Past N,тёрлось
Past PL,тёрлись
Imp S,три́сь
Imp PL,три́тесь
