Infinitive,торча́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,торча́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,торча́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,торча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,торча́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,торча́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,торчу́
2nd Sing,торчи́шь
3rd Sing,торчи́т
1st Pl,торчи́м
2nd Pl,торчи́те
3rd Pl,торча́т
Past M,торча́л
Past F,торча́ла
Past N,торча́ло
Past PL,торча́ли
Imp S,торчи́
Imp PL,торчи́те
