Infinitive,тре́снуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тре́снувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,тре́снув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,тре́снувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,тре́сну
2nd Sing,тре́снешь
3rd Sing,тре́снет
1st Pl,тре́снем
2nd Pl,тре́снете
3rd Pl,тре́снут
Past M,тре́снул
Past F,тре́снула
Past N,тре́снуло
Past PL,тре́снули
Imp S,тре́сни
Imp PL,тре́сните
