Infinitive,угаса́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,угаса́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,угаса́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,угаса́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,угаса́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,угаса́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,угаса́ю
2nd Sing,угаса́ешь
3rd Sing,угаса́ет
1st Pl,угаса́ем
2nd Pl,угаса́ете
3rd Pl,угаса́ют
Past M,угаса́л
Past F,угаса́ла
Past N,угаса́ло
Past PL,угаса́ли
Imp S,угаса́й
Imp PL,угаса́йте
