Infinitive,уговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уговорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уговори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уговори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уговорю́
2nd Sing,уговори́шь
3rd Sing,уговори́т
1st Pl,уговори́м
2nd Pl,уговори́те
3rd Pl,уговоря́т
Past M,уговори́л
Past F,уговори́ла
Past N,уговори́ло
Past PL,уговори́ли
Imp S,уговори́
Imp PL,уговори́те
