Infinitive,удаля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удаля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,удаля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удаля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,удаля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удаля́юсь
2nd Sing,удаля́ешься
3rd Sing,удаля́ется
1st Pl,удаля́емся
2nd Pl,удаля́етесь
3rd Pl,удаля́ются
Past M,удаля́лся
Past F,удаля́лась
Past N,удаля́лось
Past PL,удаля́лись
Imp S,удаля́йся
Imp PL,удаля́йтесь
