Infinitive,удовлетвори́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удовлетвори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удовлетвори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,удовлетворю́сь
2nd Sing,удовлетвори́шься
3rd Sing,удовлетвори́тся
1st Pl,удовлетвори́мся
2nd Pl,удовлетвори́тесь
3rd Pl,удовлетворя́тся
Past M,удовлетвори́лся
Past F,удовлетвори́лась
Past N,удовлетвори́лось
Past PL,удовлетвори́лись
Imp S,удовлетвори́сь
Imp PL,удовлетвори́тесь
