Infinitive,укрепи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,укрепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,укреплённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укрепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,укрепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укреплю́
2nd Sing,укрепи́шь
3rd Sing,укрепи́т
1st Pl,укрепи́м
2nd Pl,укрепи́те
3rd Pl,укрепя́т
Past M,укрепи́л
Past F,укрепи́ла
Past N,укрепи́ло
Past PL,укрепи́ли
Imp S,укрепи́
Imp PL,укрепи́те
