Infinitive,улучша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,улучша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,улучша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,улучша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,улучша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,улучша́юсь
2nd Sing,улучша́ешься
3rd Sing,улучша́ется
1st Pl,улучша́емся
2nd Pl,улучша́етесь
3rd Pl,улучша́ются
Past M,улучша́лся
Past F,улучша́лась
Past N,улучша́лось
Past PL,улучша́лись
Imp S,улучша́йся
Imp PL,улучша́йтесь
