Infinitive,унести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,унёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,унесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,унеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,унёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,унесу́
2nd Sing,унесёшь
3rd Sing,унесёт
1st Pl,унесём
2nd Pl,унесёте
3rd Pl,унесу́т
Past M,унёс
Past F,унесла́
Past N,унесло́
Past PL,унесли́
Imp S,унеси́
Imp PL,унеси́те
