Infinitive,уплати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уплати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упла́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уплати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уплати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уплачу́
2nd Sing,упла́тишь
3rd Sing,упла́тит
1st Pl,упла́тим
2nd Pl,упла́тите
3rd Pl,упла́тят
Past M,уплати́л
Past F,уплати́ла
Past N,уплати́ло
Past PL,уплати́ли
Imp S,уплати́
Imp PL,уплати́те
