Infinitive,усну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,усну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,усну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,усну́
2nd Sing,уснёшь
3rd Sing,уснёт
1st Pl,уснём
2nd Pl,уснёте
3rd Pl,усну́т
Past M,усну́л
Past F,усну́ла
Past N,усну́ло
Past PL,усну́ли
Imp S,усни́
Imp PL,усни́те
