Infinitive,успе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,успе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,успе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,успе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,успе́ю
2nd Sing,успе́ешь
3rd Sing,успе́ет
1st Pl,успе́ем
2nd Pl,успе́ете
3rd Pl,успе́ют
Past M,успе́л
Past F,успе́ла
Past N,успе́ло
Past PL,успе́ли
Imp S,успе́й
Imp PL,успе́йте
