Infinitive,устоя́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,устоя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,устоя́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,устоя́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,устою́
2nd Sing,устои́шь
3rd Sing,устои́т
1st Pl,устои́м
2nd Pl,устои́те
3rd Pl,устоя́т
Past M,устоя́л
Past F,устоя́ла
Past N,устоя́ло
Past PL,устоя́ли
Imp S,—
Imp PL,—
