Infinitive,устрани́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,устрани́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,устранённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,устрани́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,устрани́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,устраню́
2nd Sing,устрани́шь
3rd Sing,устрани́т
1st Pl,устрани́м
2nd Pl,устрани́те
3rd Pl,устраня́т
Past M,устрани́л
Past F,устрани́ла
Past N,устрани́ло
Past PL,устрани́ли
Imp S,устрани́
Imp PL,устрани́те
