Infinitive,устро́иться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,устро́ившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,устро́ившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,устро́юсь
2nd Sing,устро́ишься
3rd Sing,устро́ится
1st Pl,устро́имся
2nd Pl,устро́итесь
3rd Pl,устро́ятся
Past M,устро́ился
Past F,устро́илась
Past N,устро́илось
Past PL,устро́ились
Imp S,устро́йся
Imp PL,устро́йтесь
