Infinitive,утвержда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,утвержда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,утвержда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утвержда́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,утвержда́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,утвержда́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,утвержда́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,утвержда́ю
2nd Sing,утвержда́ешь
3rd Sing,утвержда́ет
1st Pl,утвержда́ем
2nd Pl,утвержда́ете
3rd Pl,утвержда́ют
Past M,утвержда́л
Past F,утвержда́ла
Past N,утвержда́ло
Past PL,утвержда́ли
Imp S,утвержда́й
Imp PL,утвержда́йте
