Infinitive,формули́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,формули́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,формули́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,формули́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,формули́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,формули́руюсь
2nd Sing,формули́руешься
3rd Sing,формули́руется
1st Pl,формули́руемся
2nd Pl,формули́руетесь
3rd Pl,формули́руются
Past M,формули́ровался
Past F,формули́ровалась
Past N,формули́ровалось
Past PL,формули́ровались
Imp S,формули́руйся
Imp PL,формули́руйтесь
