Infinitive,хвати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,хвати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,хвати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,хвачу́сь
2nd Sing,хва́тишься
3rd Sing,хва́тится
1st Pl,хва́тимся
2nd Pl,хва́титесь
3rd Pl,хва́тятся
Past M,хвати́лся
Past F,хвати́лась
Past N,хвати́лось
Past PL,хвати́лись
Imp S,хвати́сь
Imp PL,хвати́тесь
