Infinitive,хлю́пать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хлю́пающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хлю́павший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хлю́пая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хлю́пав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хлю́павши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хлю́паю
2nd Sing,хлю́паешь
3rd Sing,хлю́пает
1st Pl,хлю́паем
2nd Pl,хлю́паете
3rd Pl,хлю́пают
Past M,хлю́пал
Past F,хлю́пала
Past N,хлю́пало
Past PL,хлю́пали
Imp S,хлю́пай
Imp PL,хлю́пайте
