Infinitive,хрома́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хрома́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хрома́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хрома́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хрома́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хрома́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хрома́ю
2nd Sing,хрома́ешь
3rd Sing,хрома́ет
1st Pl,хрома́ем
2nd Pl,хрома́ете
3rd Pl,хрома́ют
Past M,хрома́л
Past F,хрома́ла
Past N,хрома́ло
Past PL,хрома́ли
Imp S,хрома́й
Imp PL,хрома́йте
