Infinitive,чо́каться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,чо́кающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чо́кавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чо́каясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чо́кавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,чо́каюсь
2nd Sing,чо́каешься
3rd Sing,чо́кается
1st Pl,чо́каемся
2nd Pl,чо́каетесь
3rd Pl,чо́каются
Past M,чо́кался
Past F,чо́калась
Past N,чо́калось
Past PL,чо́кались
Imp S,чо́кайся
Imp PL,чо́кайтесь
