Infinitive,щеголя́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,щеголя́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,щеголя́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,щеголя́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,щеголя́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,щеголя́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,щеголя́ю
2nd Sing,щеголя́ешь
3rd Sing,щеголя́ет
1st Pl,щеголя́ем
2nd Pl,щеголя́ете
3rd Pl,щеголя́ют
Past M,щеголя́л
Past F,щеголя́ла
Past N,щеголя́ло
Past PL,щеголя́ли
Imp S,щеголя́й
Imp PL,щеголя́йте
